customer_id,age,gender,region,tenure_months,monthly_charges,total_spend,contract_type,payment_method,support_tickets,login_frequency,last_login_days,products_used,discount_usage,complaints,satisfaction_score,marketing_emails_opened,monthly_orders,avg_order_value,preferred_login_device,preferred_order_cat,churn
CP-10031,61,Male,Europe,12.0,93.22,1146.39,Month-to-Month,Bank Transfer,2,34,3,3,,0,5,26,5,32.76,Mobile App,Home & Living,0
CP-10032,42,Male,North America,4.0,61.58,256.77,One Year,Electronic Check,1,31,39,1,Low,0,4,7,7,65.43,Mobile App,Fashion,0
CP-10033,66,Male,Europe,9.0,27.43,264.47,Month-to-Month,Bank Transfer,4,16,2,1,Moderate,0,3,10,5,24.61,Desktop,Fashion,0
CP-10034,44,Male,North America,72.0,99.9,7324.291150000005,Month-to-Month,Bank Transfer,4,25,0,1,Moderate,0,2,24,6,23.16,Desktop,SaaS Subscriptions,0
CP-10035,59,Male,North America,72.0,111.11,7324.291150000005,Two Year,Bank Transfer,0,15,2,1,,0,5,24,5,54.73,Desktop,Electronics,0
CP-10036,45,Female,Europe,23.0,64.1,1396.62,Month-to-Month,UPI/Digital Wallet,0,30,0,1,,0,4,12,5,63.1,Desktop,Grocery,0
CP-10037,33,Female,North America,40.0,103.66,4028.92,Month-to-Month,Credit Card,4,20,1,3,Moderate,1,5,14,3,38.61,Desktop,Fashion,0
CP-10038,32,Male,Middle East,1.0,50.68,51.4,One Year,Electronic Check,2,22,1,2,Moderate,0,1,1,6,59.92,Mobile App,SaaS Subscriptions,0
CP-10039,64,Female,North America,6.0,106.56,664.53,Two Year,UPI/Digital Wallet,4,36,12,1,Low,0,4,8,2,52.35,Desktop,SaaS Subscriptions,0
CP-10040,68,Female,Asia Pacific,9.0,66.71,576.85,Month-to-Month,UPI/Digital Wallet,3,17,29,3,Moderate,0,5,16,7,42.18,Mobile App,Grocery,0
CP-10041,61,Female,Asia Pacific,1.0,58.22,58.22,Two Year,Electronic Check,1,31,14,2,Low,0,2,29,4,44.71,Mobile App,Fashion,0
CP-10042,69,Female,North America,9.0,49.72,437.27,Month-to-Month,Bank Transfer,1,26,0,3,Low,1,3,26,2,75.63,Mobile App,Grocery,0
CP-10043,20,Male,Asia Pacific,2.0,116.75,232.46,Month-to-Month,Electronic Check,1,29,3,3,Low,0,5,1,5,42.21,Mobile App,Electronics,0
CP-10044,54,Male,Asia Pacific,14.0,74.58,1015.8,Month-to-Month,Electronic Check,2,24,15,2,,0,5,1,10,19.66,Mobile App,Grocery,0
CP-10045,68,Female,North America,1.0,106.54,106.54,One Year,Bank Transfer,3,22,5,2,,1,1,24,8,25.03,Mobile App,Electronics,1
CP-10046,24,Male,Middle East,6.0,70.1,419.67,Two Year,Electronic Check,0,11,9,4,Low,0,4,24,2,52.4,Tablet,Electronics,0
CP-10047,38,Male,North America,37.0,73.91,2931.47,Month-to-Month,UPI/Digital Wallet,3,20,15,1,Low,1,3,11,6,37.47,Mobile App,SaaS Subscriptions,0
CP-10048,26,Male,North America,5.0,47.41,222.12,One Year,Credit Card,1,19,11,2,High,0,3,14,3,46.49,Desktop,Electronics,0
CP-10049,56,Male,Asia Pacific,2.0,114.41,241.11,Month-to-Month,Bank Transfer,3,27,3,1,High,0,2,2,8,54.04,Desktop,Electronics,1
CP-10050,35,Male,North America,6.0,63.56,395.7,Two Year,Electronic Check,1,10,0,3,,0,5,3,4,60.69,Desktop,Fashion,0
CP-10051,21,Male,Asia Pacific,32.0,86.11,2680.25,Month-to-Month,UPI/Digital Wallet,2,13,35,2,,1,4,17,5,35.26,Tablet,Electronics,1
CP-10052,42,Male,Latin America,16.0,41.19,620.83,One Year,Electronic Check,2,23,18,5,,0,4,5,6,23.26,Mobile App,SaaS Subscriptions,0
CP-10053,31,Female,Middle East,16.0,69.26,1184.78,Month-to-Month,Credit Card,1,19,7,1,High,1,2,18,6,63.2,Tablet,Electronics,1
CP-10054,67,Female,Europe,1.0,82.58,82.58,Two Year,Credit Card,1,5,7,2,,0,4,6,3,43.07,Mobile App,Fashion,0
CP-10055,26,Male,Middle East,12.0,68.89,818.04,Month-to-Month,Electronic Check,1,19,33,4,Low,1,3,23,5,63.32,Mobile App,Electronics,1
CP-10056,43,Male,Europe,6.0,60.9,354.86,Month-to-Month,UPI/Digital Wallet,5,2,2,1,Low,0,3,22,9,59.71,Mobile App,Grocery,0
CP-10057,70,Male,North America,8.0,19.24,162.49,One Year,Electronic Check,0,12,22,3,Low,0,2,29,5,68.84,Mobile App,Fashion,0
CP-10058,19,Male,Europe,17.0,78.97,1283.88,Two Year,Bank Transfer,1,7,0,1,Moderate,0,5,28,6,35.14,Mobile App,Grocery,0
CP-10059,37,Male,Europe,38.0,73.25,2899.21,Two Year,Credit Card,1,4,26,2,Low,0,1,17,7,23.04,Mobile App,SaaS Subscriptions,0
CP-10060,45,Male,Europe,4.0,47.39,181.85,Month-to-Month,Electronic Check,1,9,9,3,Low,0,2,17,5,47.83,Desktop,Electronics,1
CP-10061,64,Female,Europe,27.0,81.31,2139.65,Month-to-Month,UPI/Digital Wallet,3,8,3,2,,0,4,9,4,33.66,Desktop,Fashion,0
CP-10062,24,Female,Europe,1.0,105.61,112.79,Two Year,Electronic Check,2,33,16,1,,1,4,17,8,63.22,Desktop,Grocery,0
CP-10063,61,Male,Europe,8.0,44.69,364.23,Month-to-Month,Electronic Check,6,15,2,1,Moderate,0,5,29,3,34.83,Mobile App,Fashion,0
CP-10064,25,Male,Middle East,5.0,32.39,166.93,One Year,Electronic Check,1,25,12,1,Low,0,3,10,5,70.15,Mobile App,Fashion,0
CP-10065,64,Female,Europe,45.0,36.03,1654.05,Month-to-Month,Electronic Check,6,32,16,1,Moderate,0,3,20,4,40.86,Mobile App,Fashion,0
CP-10066,52,Female,North America,4.0,68.54,260.05,One Year,Credit Card,2,10,5,1,Low,0,4,23,3,66.68,Mobile App,Electronics,0
CP-10067,31,Female,Asia Pacific,16.0,51.69,848.95,Month-to-Month,Electronic Check,6,23,18,1,High,1,2,28,5,43.38,Mobile App,SaaS Subscriptions,1
CP-10068,34,Female,North America,4.0,102.43,412.28,One Year,Credit Card,4,6,16,4,Low,0,4,3,6,27.39,Mobile App,Fashion,0
CP-10069,53,Male,Asia Pacific,12.0,48.55,613.12,One Year,Bank Transfer,4,2,17,5,High,0,3,5,4,66.85,Mobile App,Grocery,0
CP-10070,67,Male,North America,10.0,80.54,868.32,One Year,UPI/Digital Wallet,3,10,7,2,,0,1,2,3,45.44,Mobile App,Fashion,0
CP-10071,57,Female,North America,1.0,51.92,52.94,One Year,Bank Transfer,1,18,22,3,Moderate,1,2,27,5,63.94,Desktop,SaaS Subscriptions,1
CP-10072,21,Male,North America,32.0,65.58,2042.94,One Year,Electronic Check,2,23,8,3,Moderate,0,4,0,3,40.43,Tablet,Electronics,0
CP-10073,19,Other,North America,28.0,50.51,1495.32,One Year,Credit Card,3,10,9,3,Moderate,1,5,6,8,26.59,Desktop,Electronics,0
CP-10074,23,Female,Asia Pacific,6.0,86.57,548.08,One Year,Credit Card,3,15,12,5,Low,0,3,12,2,24.34,Mobile App,Grocery,0
CP-10075,59,Female,Europe,18.0,88.26,1679.01,One Year,UPI/Digital Wallet,1,13,4,3,Moderate,1,2,12,1,53.1,Desktop,Fashion,0
CP-10076,21,Male,Latin America,9.0,89.03,783.12,Two Year,Credit Card,3,24,24,4,Moderate,0,3,7,5,47.73,Mobile App,Electronics,0
CP-10077,46,Female,Europe,27.0,67.91,1808.11,Month-to-Month,Credit Card,1,38,19,5,Low,0,5,9,4,46.33,Mobile App,Electronics,0
CP-10078,35,Male,North America,22.0,30.14,691.69,One Year,Electronic Check,3,14,4,3,Moderate,0,1,18,4,37.58,Desktop,Grocery,0
CP-10079,43,Male,Asia Pacific,2.0,56.63,111.86,Two Year,Credit Card,2,29,28,1,Low,0,5,10,5,47.25,Mobile App,Fashion,0
CP-10080,61,Male,Europe,34.0,119.46,4055.01,Month-to-Month,Electronic Check,2,28,26,1,,0,3,7,1,38.57,Mobile App,Fashion,0
CP-10081,51,Female,Asia Pacific,4.0,69.92,257.74,One Year,Credit Card,4,18,0,2,Low,0,1,9,2,46.9,Desktop,Grocery,0
CP-10082,27,Female,Europe,4.0,65.37,277.79,Month-to-Month,Bank Transfer,2,38,3,2,Low,1,3,0,5,44.81,Desktop,Electronics,0
CP-10083,53,Male,North America,24.0,108.77,2600.25,Month-to-Month,UPI/Digital Wallet,3,29,1,4,,0,3,24,0,47.0,Desktop,Electronics,0
CP-10084,31,Male,Asia Pacific,4.0,76.43,325.4,Month-to-Month,Bank Transfer,2,39,2,1,Moderate,0,3,2,5,24.7,Mobile App,Electronics,0
CP-10085,48,Female,Europe,3.0,69.99,225.81,Two Year,Bank Transfer,3,20,10,3,Low,0,3,11,2,45.14,Mobile App,Grocery,0
CP-10086,65,Female,Europe,8.0,86.88,657.06,Month-to-Month,Credit Card,1,14,23,1,High,0,2,9,8,57.97,Mobile App,Fashion,1
CP-10087,32,Female,Latin America,33.0,112.86,3477.09,Month-to-Month,Bank Transfer,0,14,4,1,Moderate,0,4,17,3,15.06,Mobile App,Fashion,0
CP-10088,25,Female,Europe,4.0,47.05,193.28,Month-to-Month,Credit Card,2,33,39,2,High,1,5,7,8,65.15,Mobile App,Fashion,1
CP-10089,31,Male,Europe,8.0,42.86,329.39,Month-to-Month,Electronic Check,2,5,36,1,,0,1,12,7,20.06,Tablet,SaaS Subscriptions,1
CP-10090,40,Female,Europe,7.0,59.29,411.06,One Year,UPI/Digital Wallet,2,14,20,1,Low,0,1,3,8,65.12,Mobile App,Home & Living,0
CP-10091,57,Male,North America,8.0,75.57,556.96,Month-to-Month,Electronic Check,1,25,21,3,Low,0,4,15,7,29.68,Desktop,SaaS Subscriptions,0
CP-10092,38,Female,Europe,23.0,87.65,1992.77,Two Year,Electronic Check,0,17,26,1,High,1,5,25,2,40.44,Desktop,Electronics,0
CP-10093,33,Female,Europe,10.0,107.93,1160.64,Month-to-Month,Electronic Check,1,5,50,1,Moderate,0,5,1,7,29.59,Desktop,Electronics,1
CP-10094,62,Male,Europe,26.0,58.76,1429.18,Month-to-Month,Electronic Check,0,23,7,1,,1,5,24,1,40.74,Mobile App,Grocery,0
CP-10095,35,Male,Europe,19.0,63.36,1239.91,Month-to-Month,Electronic Check,4,16,4,1,Moderate,1,4,11,6,30.02,Mobile App,Fashion,0
CP-10096,64,Female,Asia Pacific,9.0,104.37,944.29,Two Year,Bank Transfer,4,10,9,1,Low,0,3,17,4,58.77,Desktop,Electronics,0
CP-10097,70,Male,North America,11.0,83.16,965.91,Month-to-Month,UPI/Digital Wallet,5,29,1,4,Moderate,0,2,10,4,32.16,Desktop,Electronics,0
CP-10098,41,Male,North America,22.0,67.89,1529.81,One Year,Bank Transfer,3,10,8,1,High,0,2,27,7,44.16,Mobile App,Fashion,0
CP-10099,43,Female,Asia Pacific,14.0,70.26,904.97,One Year,Credit Card,3,6,5,2,,0,1,13,5,9.66,Desktop,Fashion,0
CP-10100,42,Male,Latin America,37.0,109.36,4158.27,Month-to-Month,Bank Transfer,6,25,50,2,Moderate,1,4,20,5,28.93,Mobile App,Electronics,1
CP-10101,62,Female,Europe,49.0,138.18130000000028,7324.27,Month-to-Month,Credit Card,3,14,24,4,,1,1,10,0,38.26,Mobile App,Electronics,1
CP-10102,58,Male,Latin America,23.0,115.84,2763.11,Month-to-Month,UPI/Digital Wallet,7,35,8,1,Moderate,0,3,5,5,43.2,Desktop,Grocery,0
CP-10103,46,Female,North America,72.0,77.64,5796.86,One Year,Credit Card,2,30,0,1,,0,4,28,6,42.55,Mobile App,SaaS Subscriptions,0
CP-10104,32,Male,North America,17.0,84.42,1522.92,Month-to-Month,Electronic Check,1,30,30,2,Moderate,0,2,2,2,34.36,Mobile App,Electronics,1
CP-10105,62,Male,Asia Pacific,1.0,97.6,99.27,Month-to-Month,Bank Transfer,2,6,1,1,High,0,5,7,6,48.24,Mobile App,Grocery,0
CP-10106,18,Female,Latin America,13.0,38.61,515.5,One Year,Bank Transfer,1,33,1,2,Low,1,2,26,6,32.97,Mobile App,Fashion,0
CP-10107,42,Female,North America,5.0,68.38,343.87,Two Year,Electronic Check,2,38,8,3,Low,0,4,10,2,62.37,Desktop,Electronics,0
CP-10108,24,Male,North America,8.0,58.93,505.07,One Year,Electronic Check,1,27,6,2,,0,1,17,4,50.81,Mobile App,SaaS Subscriptions,0
CP-10109,26,Male,North America,13.0,84.49,1128.73,Month-to-Month,Bank Transfer,2,35,19,2,,1,3,10,4,47.98,Desktop,Electronics,0
CP-10110,41,Female,North America,7.0,45.81,309.5,Month-to-Month,Credit Card,3,17,2,2,,0,3,15,3,29.74,Mobile App,Electronics,0
CP-10111,18,Female,Asia Pacific,7.0,119.0,878.91,Month-to-Month,UPI/Digital Wallet,2,7,0,2,High,0,3,26,9,33.99,Desktop,Grocery,1
CP-10112,61,Other,Europe,10.0,81.23,791.17,Month-to-Month,Credit Card,1,4,3,2,Low,0,3,11,1,32.44,Mobile App,Home & Living,0
CP-10113,25,Other,Europe,7.0,66.26,490.64,Month-to-Month,Bank Transfer,0,36,9,3,,1,4,25,2,27.8,Mobile App,Grocery,1
CP-10114,41,Female,Europe,4.0,71.49,270.91,One Year,Electronic Check,0,30,6,1,Low,0,5,22,4,42.68,Mobile App,Fashion,0
CP-10115,28,Male,Latin America,27.0,94.15,2415.88,One Year,UPI/Digital Wallet,1,13,8,2,,0,4,28,3,38.75,Mobile App,Fashion,0
CP-10116,68,Female,North America,10.0,39.51,396.67,Two Year,Credit Card,2,21,1,1,Moderate,0,1,15,2,27.4,Mobile App,Fashion,0
CP-10117,34,Female,Asia Pacific,33.0,55.39,1789.24,Month-to-Month,Credit Card,3,13,6,3,Low,0,3,20,4,42.69,Mobile App,Fashion,0
CP-10118,25,Male,Latin America,39.0,74.84,3962.91,Month-to-Month,Credit Card,0,36,6,5,Low,0,5,29,4,61.58,Mobile App,SaaS Subscriptions,0
CP-10119,52,Male,North America,26.0,58.39,1570.07,Month-to-Month,Electronic Check,4,20,6,1,High,1,1,6,5,50.85,Desktop,SaaS Subscriptions,1
CP-10120,52,Male,Asia Pacific,10.0,103.38,1032.04,Two Year,Electronic Check,3,30,3,3,High,1,2,10,2,77.14,Mobile App,Fashion,0
CP-10121,50,Male,Asia Pacific,23.0,70.39,1740.23,One Year,Credit Card,2,7,21,1,Low,1,4,11,5,47.42,Desktop,Electronics,0
CP-10122,22,Male,North America,4.0,70.69,302.73,Month-to-Month,Electronic Check,1,32,32,2,,1,1,14,6,30.22,Mobile App,Home & Living,1
CP-10123,59,Male,North America,20.0,61.07,1166.45,Month-to-Month,Electronic Check,5,26,16,2,Moderate,0,3,13,4,39.08,Desktop,Grocery,0
CP-10124,56,Female,Europe,10.0,91.83,880.02,Month-to-Month,Bank Transfer,2,32,17,2,Moderate,1,2,23,5,45.34,Mobile App,Home & Living,1
CP-10125,58,Male,Europe,20.0,84.27,1767.72,Two Year,Electronic Check,4,24,11,1,High,0,3,28,2,60.82,Mobile App,Grocery,0
CP-10126,45,Male,Europe,26.0,68.22,1754.51,Month-to-Month,Credit Card,3,36,21,2,,0,2,0,2,32.69,Mobile App,Fashion,0
CP-10127,24,Male,North America,15.0,96.68,1369.13,Month-to-Month,Credit Card,5,26,38,2,Moderate,0,1,26,7,57.94,Desktop,Fashion,1
CP-10128,26,Female,Asia Pacific,19.0,43.82,888.42,Month-to-Month,Bank Transfer,2,3,3,1,,1,1,13,5,47.3,Desktop,Electronics,1
CP-10129,25,Male,North America,5.0,61.59,319.8,Month-to-Month,Electronic Check,3,6,0,1,High,0,3,15,6,72.71,Tablet,Home & Living,1
CP-10130,29,Female,Europe,17.0,61.68,1028.36,Two Year,Credit Card,5,20,6,1,,1,2,6,1,48.97,Mobile App,Grocery,0
CP-10131,51,Female,Europe,12.0,51.36,664.42,Month-to-Month,Credit Card,1,31,0,4,Moderate,0,4,4,7,59.07,Mobile App,Fashion,0
CP-10132,50,Male,Asia Pacific,11.0,80.09,897.76,Month-to-Month,UPI/Digital Wallet,1,8,5,2,,0,1,0,4,41.46,Mobile App,Electronics,0
CP-10133,65,Male,North America,10.0,43.72,438.24,Month-to-Month,Bank Transfer,3,23,0,3,Moderate,0,4,25,5,69.83,Mobile App,Fashion,0
CP-10134,40,Male,North America,7.0,51.8,363.94,Month-to-Month,Electronic Check,3,10,17,1,Moderate,0,1,5,7,54.56,Mobile App,Electronics,1
CP-10135,41,Female,North America,7.0,72.41,494.19,One Year,Electronic Check,3,39,1,2,,0,4,16,3,56.71,Desktop,Fashion,0
CP-10136,54,Female,North America,22.0,45.47,971.7,Month-to-Month,Electronic Check,2,23,15,1,Moderate,1,3,14,3,21.05,Mobile App,Home & Living,1
CP-10137,52,Female,North America,15.0,91.03,1468.33,One Year,Bank Transfer,0,28,5,4,Moderate,0,5,14,3,45.39,Desktop,Grocery,0
CP-10138,61,Male,Europe,1.0,110.96,117.56,One Year,Credit Card,1,31,11,1,Low,0,3,20,7,61.22,Mobile App,Electronics,0
CP-10139,57,Other,Asia Pacific,1.0,88.76,88.76,Month-to-Month,Electronic Check,2,7,11,2,Low,0,3,10,2,45.31,Mobile App,SaaS Subscriptions,1
CP-10140,39,Male,Asia Pacific,16.0,70.61,1207.06,One Year,Electronic Check,5,3,11,4,,0,3,21,6,71.08,Mobile App,Electronics,0
CP-10141,44,Male,Europe,34.0,48.85,1549.75,Month-to-Month,UPI/Digital Wallet,3,23,3,2,,0,5,13,3,38.1,Desktop,Electronics,0
CP-10142,52,Female,North America,1.0,61.15,61.15,Month-to-Month,UPI/Digital Wallet,3,39,52,2,Low,0,3,19,3,81.43,Mobile App,Electronics,1
CP-10143,18,Female,Middle East,13.0,52.24,724.39,Month-to-Month,Electronic Check,0,7,16,1,,1,4,16,7,47.11,Mobile App,Home & Living,1
CP-10144,52,Male,North America,35.0,105.51,3433.92,Month-to-Month,Credit Card,2,31,4,1,Moderate,0,5,10,4,83.53005000000002,Tablet,Fashion,0
CP-10145,54,Male,Asia Pacific,1.0,83.82,89.53,Month-to-Month,Credit Card,2,9,38,2,Low,0,4,8,7,39.79,Mobile App,Electronics,1
CP-10146,64,Male,Latin America,6.0,70.64,414.03,Month-to-Month,Credit Card,3,17,4,2,High,1,2,5,2,33.59,Desktop,Electronics,1
CP-10147,31,Male,Asia Pacific,46.0,92.0,4015.44,One Year,Electronic Check,2,21,12,2,Low,0,4,13,5,46.74,Mobile App,Fashion,0
CP-10148,20,Male,North America,2.0,31.12,58.88,Month-to-Month,Credit Card,1,18,30,1,Moderate,1,3,15,6,58.58,Mobile App,Electronics,1
CP-10149,18,Female,North America,17.0,69.9,1171.91,One Year,Electronic Check,0,39,12,1,High,1,5,18,7,34.05,Desktop,Grocery,0
CP-10150,22,Female,North America,13.0,128.83,1728.67,Two Year,Electronic Check,1,35,1,4,Low,0,3,9,2,22.18,Mobile App,SaaS Subscriptions,0
CP-10151,43,Female,Europe,3.0,85.67,263.02,Month-to-Month,Electronic Check,2,30,13,5,Moderate,0,1,19,5,60.88,Mobile App,Grocery,1
CP-10152,31,Female,Europe,1.0,27.46,27.46,Month-to-Month,Electronic Check,3,3,8,1,,0,3,21,7,65.44,Mobile App,Grocery,1
CP-10153,56,Female,Asia Pacific,13.0,63.98,822.03,Month-to-Month,Credit Card,1,38,2,2,Low,0,4,17,4,39.88,Tablet,Electronics,0
CP-10154,44,Female,North America,24.0,72.62,1674.56,Month-to-Month,Bank Transfer,2,19,1,3,Low,0,3,28,5,41.67,Tablet,Grocery,0
CP-10155,26,Female,Asia Pacific,4.0,94.2,371.21,One Year,Electronic Check,4,1,3,3,,0,3,27,5,29.77,Mobile App,Fashion,0
CP-10156,32,Male,Asia Pacific,22.0,32.53,680.61,Month-to-Month,Credit Card,2,26,1,2,,0,3,5,4,75.25,Mobile App,Fashion,0
CP-10157,32,Female,North America,15.0,76.56,1196.02,Month-to-Month,Electronic Check,2,28,17,2,Moderate,0,5,6,1,55.77,Tablet,Grocery,0
CP-10158,43,Female,North America,8.0,63.36,497.86,One Year,Electronic Check,2,25,1,1,Low,1,2,12,1,35.34,Mobile App,SaaS Subscriptions,0
CP-10159,59,Female,Europe,20.0,80.37,1570.05,One Year,Electronic Check,3,11,2,1,Low,0,1,23,7,9.98,Desktop,Electronics,0
CP-10160,30,Other,Europe,4.0,94.27,384.61,Month-to-Month,Credit Card,3,6,1,2,Low,0,3,10,2,56.9,Desktop,Electronics,0
CP-10161,68,Male,North America,11.0,89.98,952.2,Month-to-Month,Electronic Check,3,25,9,1,Moderate,0,2,7,5,45.52,Desktop,SaaS Subscriptions,1
CP-10162,49,Female,North America,15.0,84.02,1242.72,Month-to-Month,Credit Card,1,23,4,1,Moderate,0,3,13,6,41.43,Mobile App,Grocery,0
CP-10163,56,Male,Asia Pacific,12.0,18.0,201.65,Month-to-Month,Electronic Check,2,1,26,2,,0,5,19,8,31.27,Desktop,Fashion,1
CP-10164,66,Female,North America,10.0,47.23,444.93,Month-to-Month,UPI/Digital Wallet,2,22,0,5,High,1,3,16,7,40.5,Tablet,Fashion,0
CP-10165,69,Male,North America,25.0,47.86,1200.84,One Year,Electronic Check,1,9,0,2,Moderate,0,1,4,6,43.53,Mobile App,Electronics,0
CP-10166,49,Male,Asia Pacific,20.0,131.7,2844.04,One Year,Credit Card,3,35,18,1,Moderate,1,2,27,5,59.1,Mobile App,Electronics,0
CP-10167,21,Male,Europe,19.0,84.75,1625.38,One Year,Bank Transfer,1,19,3,2,Low,0,2,28,4,46.57,Desktop,Fashion,0
CP-10168,47,Female,Europe,41.0,65.12,2651.43,One Year,Bank Transfer,3,32,17,4,Low,0,2,28,2,46.07,Mobile App,Grocery,0
CP-10169,54,Male,Europe,72.0,90.07,6206.84,Month-to-Month,Electronic Check,3,8,22,2,Low,0,3,7,2,60.94,Desktop,SaaS Subscriptions,0
CP-10170,40,Female,Europe,16.0,56.07,878.09,Month-to-Month,Electronic Check,5,35,1,3,,0,4,22,1,56.87,Desktop,SaaS Subscriptions,0
CP-10171,56,Male,Europe,8.0,76.84,643.57,Month-to-Month,Credit Card,0,38,17,3,High,0,3,17,6,45.28,Desktop,Electronics,0
CP-10172,62,Female,Middle East,28.0,99.61,2772.72,Two Year,Bank Transfer,2,36,1,5,High,1,3,20,2,34.85,Mobile App,Electronics,0
CP-10173,32,Female,North America,3.0,92.23,285.05,One Year,Bank Transfer,4,3,8,2,Moderate,0,4,0,4,60.54,Mobile App,Electronics,0
CP-10174,60,Male,North America,13.0,124.98,1580.98,Month-to-Month,Credit Card,1,39,18,3,Low,0,2,6,6,64.06,Desktop,Grocery,1
CP-10175,46,Male,North America,14.0,81.49,1085.73,Month-to-Month,Bank Transfer,4,29,11,2,,1,4,3,5,13.99,Tablet,Fashion,0
